state,name,MME,transaction_year,fips
GA,benhill,7932132.27,2019-01-01,13017
GA,cook,6113005.7700000005,2019-01-01,13075
GA,marion,454614.75,2019-01-01,13197
GA,randolph,1377579.255,2019-01-01,13243
GA,bleckley,8232157.8375,2019-01-01,13023
GA,treutlen,2164789.3425,2019-01-01,13283
GA,lamar,5894472.435,2019-01-01,13171
GA,mcintosh,2159324.55,2019-01-01,13191
GA,crawford,2098494.375,2019-01-01,13079
GA,wheeler,360899.55,2019-01-01,13309
GA,oglethorpe,2890811.6025,2019-01-01,13221
GA,twiggs,605728.6875,2019-01-01,13289
GA,lumpkin,10589693.7939,2015-01-01,13187
GA,effingham,18589614.6825,2015-01-01,13103
GA,richmond,87779769.51,2015-01-01,13245
GA,rockdale,49003192.5318,2015-01-01,13247
GA,paulding,41576607.42,2015-01-01,13223
GA,chattooga,15648592.485,2015-01-01,13055
GA,cobb,224165838.27945,2015-01-01,13067
GA,burke,7442439.87,2015-01-01,13033
GA,hall,83765163.7359,2015-01-01,13139
GA,fulton,198382151.0073,2015-01-01,13121
GA,union,10156156.9725,2015-01-01,13291
GA,habersham,21502904.1414,2015-01-01,13137
GA,dekalb,127752318.2655,2015-01-01,13089
GA,gwinnett,204347235.7821,2015-01-01,13135
GA,polk,28723248.405,2015-01-01,13233
GA,chatham,111441810.819,2015-01-01,13051
GA,gilmer,23366500.6125,2015-01-01,13123
GA,walton,43411697.1651,2015-01-01,13297
GA,decatur,10254853.8714,2015-01-01,13087
GA,cherokee,67077403.6473,2015-01-01,13057
GA,white,16773032.265,2015-01-01,13311
GA,floyd,71068961.07000001,2015-01-01,13115
GA,columbia,55708948.0803,2015-01-01,13073
GA,henry,71352255.8889,2015-01-01,13151
GA,newton,29241764.0625,2015-01-01,13217
GA,dougherty,30137149.7925,2015-01-01,13095
GA,toombs,14116377.195,2015-01-01,13279
GA,muscogee,65393930.7528,2015-01-01,13215
GA,lowndes,39343567.1415,2015-01-01,13185
GA,whitfield,47760895.8825,2015-01-01,13313
GA,jackson,36423410.0412,2015-01-01,13157
GA,telfair,8091735.8475,2015-01-01,13271
GA,colquitt,14254616.8068,2015-01-01,13071
GA,gordon,24943769.9325,2015-01-01,13129
GA,clarke,65349085.665,2015-01-01,13059
GA,wilkinson,4307077.6575,2015-01-01,13319
GA,bibb,113021663.8137,2015-01-01,13021
GA,mcduffie,13770225.3006,2015-01-01,13189
GA,haralson,34332579.0675,2015-01-01,13143
GA,coweta,51775309.3506,2015-01-01,13077
GA,ware,25179156.8775,2015-01-01,13299
GA,madison,20222639.5395,2015-01-01,13195
GA,camden,20879742.5925,2015-01-01,13039
GA,spalding,35826926.655,2015-01-01,13255
GA,carroll,69993808.1517,2015-01-01,13045
GA,seminole,3886035.75,2015-01-01,13253
GA,meriwether,7116365.085,2015-01-01,13199
GA,greene,12556423.0875,2015-01-01,13133
GA,evans,7727083.95,2015-01-01,13109
GA,taylor,3149270.2425,2015-01-01,13269
GA,jeffdavis,11095316.595,2015-01-01,13161
GA,houston,60089770.287,2015-01-01,13153
GA,sumter,9981538.14,2015-01-01,13261
GA,washington,6212957.0925,2015-01-01,13303
GA,randolph,1390965.075,2015-01-01,13243
GA,turner,3862367.1984,2015-01-01,13287
GA,murray,18794815.9875,2015-01-01,13213
GA,dodge,14300453.25,2015-01-01,13091
GA,tift,22088482.635,2015-01-01,13277
GA,thomas,12778548.3939,2015-01-01,13275
GA,wayne,18099086.7675,2015-01-01,13305
GA,appling,9222981.9525,2015-01-01,13001
GA,walker,22505060.3925,2015-01-01,13295
GA,douglas,65102449.9575,2015-01-01,13097
GA,fayette,40038791.97,2015-01-01,13113
GA,macon,4851630.0,2015-01-01,13193
GA,johnson,2245805.85,2015-01-01,13167
GA,candler,6208372.4625,2015-01-01,13043
GA,glynn,27561701.25,2015-01-01,13127
GA,bulloch,23591642.6064,2015-01-01,13031
GA,mitchell,8288259.8925,2015-01-01,13205
GA,jones,9603295.6044,2015-01-01,13169
GA,forsyth,56157748.2159,2015-01-01,13117
GA,screven,3815799.4875,2015-01-01,13251
GA,monroe,7347139.905,2015-01-01,13207
GA,jenkins,4140027.3,2015-01-01,13165
